LoanAccountId,SourceId,AccountNumber,AccountCurrencyId,AccountCurrency,OrganizationId,OrganizationName,ChannelID,BrokerId,OpenDateId,OpenDate,CancelledDateId,CancelledDate,ValueDate,ProductId,Product,InvoiceDay,CurrentInstallmentAmount,CurrentInvoiceFee,NextInvoiceDate,CalculatedMaturityDate,IsActive,LoanStatus
35,8,001114470014,49,EUR,22,Nordic Finland,27,173,20180320,2018-03-20,20221029,2022-10-29,2019-10-12,293,Nordic CL Unsecured loan,14,19791.0,5,2024-03-14,2022-10-14,0,Cancelled
36,8,001115160051,49,EUR,22,Nordic Finland,27,173,20191017,2019-10-17,-1,,2019-10-17,293,Nordic CL Unsecured loan,14,60338.0,5,2024-03-14,2033-10-14,1,Active
37,8,001116410018,49,EUR,22,Nordic Finland,27,173,20180302,2018-03-02,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,43764.0,5,2024-03-14,2029-07-14,1,Active
38,8,001116500016,49,EUR,22,Nordic Finland,,176,20180305,2018-03-05,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,32269.0,5,2024-03-14,2040-08-14,1,Active
39,8,001116500016,49,EUR,22,Nordic Finland,,167,20180305,2018-03-05,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,32269.0,5,2024-03-14,2040-08-14,1,Active
40,8,001118630050,49,EUR,22,Nordic Finland,,169,20181022,2018-10-22,20200827,2020-08-27,2019-10-12,293,Nordic CL Unsecured loan,14,1103.0,5,2024-03-14,2023-10-14,0,Cancelled
41,8,001118630050,49,EUR,22,Nordic Finland,,178,20181022,2018-10-22,20200827,2020-08-27,2019-10-12,293,Nordic CL Unsecured loan,14,1103.0,5,2024-03-14,2023-10-14,0,Cancelled
42,8,001121210015,49,EUR,40,Nordic Finland,27,173,20180228,2018-02-28,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,53964.0,5,2024-03-14,2036-09-14,1,Active
43,8,001123710012,49,EUR,40,Nordic Finland,,166,20180307,2018-03-07,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,3152.0,5,2024-03-14,2029-08-14,1,Active
44,8,001123710012,49,EUR,40,Nordic Finland,,166,20180307,2018-03-07,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,3152.0,5,2024-03-14,2029-08-14,1,Active
45,8,001124300011,49,EUR,22,Nordic Finland,27,173,20180306,2018-03-06,20211028,2021-10-28,2019-10-12,293,Nordic CL Unsecured loan,14,23218.0,5,2024-03-14,2031-12-14,0,Cancelled
46,8,001132020015,49,EUR,22,Nordic Finland,,169,20180403,2018-04-03,20221112,2022-11-12,2019-10-12,293,Nordic CL Unsecured loan,14,2131.0,"9,9",2024-03-14,2022-12-14,0,Cancelled
47,8,001132020015,49,EUR,22,Nordic Finland,,178,20180403,2018-04-03,20221112,2022-11-12,2019-10-12,293,Nordic CL Unsecured loan,14,2131.0,"9,9",2024-03-14,2022-12-14,0,Cancelled
48,8,001134360013,49,EUR,22,Nordic Finland,,165,20180322,2018-03-22,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,29056.0,5,2024-03-14,2029-11-14,1,Active
49,8,001134360013,49,EUR,22,Nordic Finland,,174,20180322,2018-03-22,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,29056.0,5,2024-03-14,2029-11-14,1,Active
50,8,001142520012,49,EUR,40,Nordic Finland,28,173,20180406,2018-04-06,-1,,2019-10-12,344,NF1 CL Unsecured loan,14,50675.0,5,2024-03-14,2032-10-14,1,Active
51,8,001143420014,49,EUR,22,Nordic Finland,,167,20180409,2018-04-09,20230216,2023-02-16,2019-10-12,293,Nordic CL Unsecured loan,14,18153.0,5,2024-03-14,2029-11-14,0,Cancelled
52,8,001143420014,49,EUR,22,Nordic Finland,,167,20180409,2018-04-09,20230216,2023-02-16,2019-10-12,293,Nordic CL Unsecured loan,14,18153.0,5,2024-03-14,2029-11-14,0,Cancelled
53,8,001144040019,49,EUR,22,Nordic Finland,,166,20180409,2018-04-09,20230919,2023-09-19,2019-10-12,293,Nordic CL Unsecured loan,14,1079.0,5,2024-03-14,2026-01-14,0,Cancelled
54,8,001144040019,49,EUR,22,Nordic Finland,,166,20180409,2018-04-09,20230919,2023-09-19,2019-10-12,293,Nordic CL Unsecured loan,14,1079.0,5,2024-03-14,2026-01-14,0,Cancelled
55,8,001145520050,49,EUR,22,Nordic Finland,27,173,20190808,2019-08-08,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,44279.0,5,2024-03-14,2033-03-14,1,Active
56,8,001148620014,49,EUR,22,Nordic Finland,27,173,20180419,2018-04-19,-1,,2019-10-12,293,Nordic CL Unsecured loan,14,23215.0,5,2024-03-14,2037-06-14,1,Active
57,8,001149540013,49,EUR,22,Nordic Finland,27,173,20180508,2018-05-08,20210722,2021-07-22,2019-10-12,293,Nordic CL Unsecured loan,14,3312.0,5,2024-03-14,2028-02-14,0,Cancelled
58,8,001151770094,49,EUR,22,Nordic Finland,,171,20190719,2019-07-19,20230114,2023-01-14,2019-10-12,293,Nordic CL Unsecured loan,14,12836.0,5,2024-03-14,,0,Cancelled
59,8,001151770094,49,EUR,22,Nordic Finland,,171,20190719,2019-07-19,20230114,2023-01-14,2019-10-12,293,Nordic CL Unsecured loan,14,12836.0,5,2024-03-14,,0,Cancelled
60,8,001055820011,49,EUR,22,Nordic Finland,31,173,20170928,2017-09-28,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,3441.0,5,2024-03-14,2025-02-14,1,Active
61,8,001056220013,49,EUR,22,Nordic Finland,,165,20171004,2017-10-04,20220928,2022-09-28,2019-10-12,294,Nordic OLD Unsecured loan,14,34226.0,5,2024-03-14,2034-07-14,0,Cancelled
62,8,001056220013,49,EUR,22,Nordic Finland,,165,20171004,2017-10-04,20220928,2022-09-28,2019-10-12,294,Nordic OLD Unsecured loan,14,34226.0,5,2024-03-14,2034-07-14,0,Cancelled
63,8,001056270018,49,EUR,22,Nordic Finland,,176,20171002,2017-10-02,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,4761.0,5,2024-03-14,2026-03-14,1,Active
64,8,001056270018,49,EUR,22,Nordic Finland,,167,20171002,2017-10-02,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,4761.0,5,2024-03-14,2026-03-14,1,Active
65,8,001056880014,49,EUR,22,Nordic Finland,28,173,20171009,2017-10-09,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,28157.0,5,2024-03-14,2030-01-14,1,Active
66,8,001057480012,49,EUR,22,Nordic Finland,,166,20171010,2017-10-10,20210831,2021-08-31,2019-10-12,294,Nordic OLD Unsecured loan,14,58419.0,5,2024-03-14,2027-03-14,0,Cancelled
67,8,001057480012,49,EUR,22,Nordic Finland,,166,20171010,2017-10-10,20210831,2021-08-31,2019-10-12,294,Nordic OLD Unsecured loan,14,58419.0,5,2024-03-14,2027-03-14,0,Cancelled
68,8,001057530055,49,EUR,22,Nordic Finland,,169,20180824,2018-08-24,20210323,2021-03-23,2019-10-12,294,Nordic OLD Unsecured loan,14,19362.0,5,2024-03-14,2033-09-14,0,Cancelled
69,8,001057530055,49,EUR,22,Nordic Finland,,169,20180824,2018-08-24,20210323,2021-03-23,2019-10-12,294,Nordic OLD Unsecured loan,14,19362.0,5,2024-03-14,2033-09-14,0,Cancelled
70,8,001058020056,49,EUR,22,Nordic Finland,,167,20180206,2018-02-06,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,31527.0,5,2024-03-14,2030-01-14,1,Active
71,8,001058020056,49,EUR,22,Nordic Finland,,167,20180206,2018-02-06,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,31527.0,5,2024-03-14,2030-01-14,1,Active
72,8,001058130012,49,EUR,22,Nordic Finland,29,173,20171004,2017-10-04,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,20321.0,0,2024-03-14,2020-11-14,1,Active
73,8,001058880012,49,EUR,22,Nordic Finland,27,173,20171009,2017-10-09,20230610,2023-06-10,2019-10-12,294,Nordic OLD Unsecured loan,14,9606.0,5,2024-03-14,2028-09-14,0,Cancelled
74,8,001058960053,49,EUR,22,Nordic Finland,27,173,20171102,2017-11-02,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,47346.0,5,2024-03-14,2027-11-14,1,Active
75,8,001059680015,49,EUR,22,Nordic Finland,,166,20171009,2017-10-09,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,39981.0,5,2024-03-14,2034-07-14,1,Active
76,8,001059680015,49,EUR,22,Nordic Finland,,166,20171009,2017-10-09,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,39981.0,5,2024-03-14,2034-07-14,1,Active
77,8,001060420013,49,EUR,22,Nordic Finland,,166,20171012,2017-10-12,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,14009.0,5,2024-03-14,2032-08-14,1,Active
78,8,001060420013,49,EUR,22,Nordic Finland,,166,20171012,2017-10-12,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,14009.0,5,2024-03-14,2032-08-14,1,Active
79,8,001061030019,49,EUR,22,Nordic Finland,,166,20171013,2017-10-13,20230411,2023-04-11,2019-10-12,294,Nordic OLD Unsecured loan,14,25612.0,5,2024-03-14,2027-11-14,0,Cancelled
80,8,001061030019,49,EUR,22,Nordic Finland,,166,20171013,2017-10-13,20230411,2023-04-11,2019-10-12,294,Nordic OLD Unsecured loan,14,25612.0,5,2024-03-14,2027-11-14,0,Cancelled
81,8,001061080014,49,EUR,22,Nordic Finland,31,173,20171016,2017-10-16,20191228,2019-12-28,2019-10-12,294,Nordic OLD Unsecured loan,14,2066.0,5,2024-03-14,2020-03-14,0,Cancelled
82,8,001061600092,49,EUR,22,Nordic Finland,,166,20171218,2017-12-18,20200731,2020-07-31,2019-10-12,294,Nordic OLD Unsecured loan,14,4387.0,0,2024-03-14,2019-10-15,0,Cancelled
83,8,001061600092,49,EUR,22,Nordic Finland,,175,20171218,2017-12-18,20200731,2020-07-31,2019-10-12,294,Nordic OLD Unsecured loan,14,4387.0,0,2024-03-14,2019-10-15,0,Cancelled
84,8,001062240013,49,EUR,22,Nordic Finland,,167,20171027,2017-10-27,20221117,2022-11-17,2019-10-12,294,Nordic OLD Unsecured loan,14,33374.0,5,2024-03-14,2022-11-14,0,Cancelled
85,8,001062240013,49,EUR,22,Nordic Finland,,167,20171027,2017-10-27,20221117,2022-11-17,2019-10-12,294,Nordic OLD Unsecured loan,14,33374.0,5,2024-03-14,2022-11-14,0,Cancelled
86,8,001062310014,49,EUR,22,Nordic Finland,27,173,20171018,2017-10-18,20230202,2023-02-02,2019-10-12,294,Nordic OLD Unsecured loan,14,26538.0,5,2024-03-14,2023-01-14,0,Cancelled
87,8,001062930019,49,EUR,22,Nordic Finland,,166,20171018,2017-10-18,20230308,2023-03-08,2019-10-12,294,Nordic OLD Unsecured loan,14,3089.0,5,2024-03-14,2034-06-14,0,Cancelled
88,8,001062930019,49,EUR,22,Nordic Finland,,166,20171018,2017-10-18,20230308,2023-03-08,2019-10-12,294,Nordic OLD Unsecured loan,14,3089.0,5,2024-03-14,2034-06-14,0,Cancelled
89,8,001063700056,49,EUR,22,Nordic Finland,27,173,20180605,2018-06-05,20211030,2021-10-30,2019-10-12,294,Nordic OLD Unsecured loan,14,14762.0,5,2024-03-14,2033-05-14,0,Cancelled
90,8,001064140096,49,EUR,22,Nordic Finland,,175,20181108,2018-11-08,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,34167.0,5,2024-03-14,2036-04-14,1,Active
91,8,001064140096,49,EUR,22,Nordic Finland,,166,20181108,2018-11-08,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,34167.0,5,2024-03-14,2036-04-14,1,Active
92,8,001064270018,49,EUR,22,Nordic Finland,31,173,20171023,2017-10-23,20210410,2021-04-10,2019-10-12,294,Nordic OLD Unsecured loan,14,1426.0,5,2024-03-14,2026-05-14,0,Cancelled
93,8,001064800012,49,EUR,22,Nordic Finland,27,173,20171025,2017-10-25,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,45734.0,5,2024-03-14,2031-02-14,1,Active
94,8,001065390013,49,EUR,22,Nordic Finland,,165,20171024,2017-10-24,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,27764.0,5,2024-03-14,2031-10-14,1,Active
95,8,001065390013,49,EUR,22,Nordic Finland,,165,20171024,2017-10-24,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,27764.0,5,2024-03-14,2031-10-14,1,Active
96,8,001065470013,49,EUR,22,Nordic Finland,,167,20171025,2017-10-25,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,56687.0,5,2024-03-14,2032-12-14,1,Active
97,8,001065470013,49,EUR,22,Nordic Finland,,167,20171025,2017-10-25,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,56687.0,5,2024-03-14,2032-12-14,1,Active
98,8,001066280015,49,EUR,22,Nordic Finland,27,173,20171026,2017-10-26,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,59625.0,5,2024-03-14,2035-04-14,1,Active
99,8,001066730019,49,EUR,22,Nordic Finland,27,173,20171027,2017-10-27,20220831,2022-08-31,2019-10-12,294,Nordic OLD Unsecured loan,14,29604.0,5,2024-03-14,2027-11-14,0,Cancelled
100,8,001066800010,49,EUR,22,Nordic Finland,,166,20171027,2017-10-27,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,49815.0,5,2024-03-14,2033-01-14,1,Active
101,8,001066800010,49,EUR,22,Nordic Finland,,166,20171027,2017-10-27,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,49815.0,5,2024-03-14,2033-01-14,1,Active
102,8,001067250017,49,EUR,22,Nordic Finland,,165,20171031,2017-10-31,20191031,2019-10-31,2019-10-12,294,Nordic OLD Unsecured loan,14,43618.0,5,2024-03-14,2032-11-14,0,Cancelled
103,8,001067250017,49,EUR,22,Nordic Finland,,165,20171031,2017-10-31,20191031,2019-10-31,2019-10-12,294,Nordic OLD Unsecured loan,14,43618.0,5,2024-03-14,2032-11-14,0,Cancelled
104,8,001067750016,49,EUR,22,Nordic Finland,27,173,20171030,2017-10-30,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,21176.0,5,2024-03-14,2030-01-14,1,Active
105,8,001067810059,49,EUR,22,Nordic Finland,27,173,20181120,2018-11-20,20210504,2021-05-04,2019-10-12,294,Nordic OLD Unsecured loan,14,42094.0,5,2024-03-14,2021-08-14,0,Cancelled
106,8,001068190014,49,EUR,22,Nordic Finland,27,173,20171107,2017-11-07,20211231,2021-12-31,2019-10-12,294,Nordic OLD Unsecured loan,14,53586.0,5,2024-03-14,2028-12-14,0,Cancelled
107,8,001068260015,49,EUR,22,Nordic Finland,29,173,20171031,2017-10-31,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,30045.0,5,2024-03-14,2033-02-14,1,Active
108,8,001068880010,49,EUR,22,Nordic Finland,27,173,20171031,2017-10-31,20191113,2019-11-13,2019-10-12,294,Nordic OLD Unsecured loan,14,12875.0,5,2024-03-14,2019-10-15,0,Cancelled
109,8,001069570016,49,EUR,22,Nordic Finland,27,173,20171102,2017-11-02,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,3267.0,0,2024-03-14,2025-09-14,1,Active
110,8,001069790010,49,EUR,22,Nordic Finland,,167,20171121,2017-11-21,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,20726.0,5,2024-03-14,2032-11-14,1,Active
111,8,001069790010,49,EUR,22,Nordic Finland,,167,20171121,2017-11-21,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,20726.0,5,2024-03-14,2032-11-14,1,Active
112,8,001070280019,49,EUR,22,Nordic Finland,27,173,20171108,2017-11-08,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,71043.0,5,2024-03-14,2032-12-14,1,Active
113,8,001070790058,49,EUR,22,Nordic Finland,,169,20190123,2019-01-23,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,14094.0,0,2024-03-14,2025-10-14,1,Active
114,8,001070790058,49,EUR,22,Nordic Finland,,178,20190123,2019-01-23,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,14094.0,0,2024-03-14,2025-10-14,1,Active
115,8,001071340093,49,EUR,22,Nordic Finland,,174,20180801,2018-08-01,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,24522.0,5,2024-03-14,2028-09-14,1,Active
116,8,001071340093,49,EUR,22,Nordic Finland,,165,20180801,2018-08-01,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,24522.0,5,2024-03-14,2028-09-14,1,Active
117,8,001071380016,49,EUR,22,Nordic Finland,27,173,20171108,2017-11-08,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,43274.0,0,2024-03-14,2025-03-14,1,Active
118,8,001072150012,49,EUR,22,Nordic Finland,27,173,20171109,2017-11-09,20231031,2023-10-31,2019-10-12,294,Nordic OLD Unsecured loan,14,35519.0,5,2024-03-14,2023-10-14,0,Cancelled
119,8,001072560012,49,EUR,22,Nordic Finland,,167,20171129,2017-11-29,20230308,2023-03-08,2019-10-12,294,Nordic OLD Unsecured loan,14,29257.0,5,2024-03-14,2026-06-14,0,Cancelled
120,8,001072560012,49,EUR,22,Nordic Finland,,167,20171129,2017-11-29,20230308,2023-03-08,2019-10-12,294,Nordic OLD Unsecured loan,14,29257.0,5,2024-03-14,2026-06-14,0,Cancelled
121,8,001073630053,49,EUR,22,Nordic Finland,27,173,20190307,2019-03-07,20230323,2023-03-23,2019-10-12,294,Nordic OLD Unsecured loan,14,31963.0,5,2024-03-14,2030-12-14,0,Cancelled
122,8,001074280056,49,EUR,22,Nordic Finland,,175,20190522,2019-05-22,20221004,2022-10-04,2019-10-12,294,Nordic OLD Unsecured loan,14,54226.0,5,2024-03-14,2034-10-14,0,Cancelled
123,8,001074280056,49,EUR,22,Nordic Finland,,166,20190522,2019-05-22,20221004,2022-10-04,2019-10-12,294,Nordic OLD Unsecured loan,14,54226.0,5,2024-03-14,2034-10-14,0,Cancelled
124,8,001078540018,49,EUR,22,Nordic Finland,,166,20171127,2017-11-27,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,33245.0,5,2024-03-14,2034-05-14,1,Active
125,8,001078540018,49,EUR,22,Nordic Finland,,175,20171127,2017-11-27,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,33245.0,5,2024-03-14,2034-05-14,1,Active
126,8,001079930010,49,EUR,22,Nordic Finland,27,173,20171129,2017-11-29,20200731,2020-07-31,2019-10-12,294,Nordic OLD Unsecured loan,14,17933.0,0,2024-03-14,2019-10-15,0,Cancelled
127,8,001080680018,49,EUR,22,Nordic Finland,27,276,20171129,2017-11-29,20200115,2020-01-15,2019-10-12,294,Nordic OLD Unsecured loan,14,505.0,5,2024-03-14,2021-09-14,0,Cancelled
128,8,001081160010,49,EUR,22,Nordic Finland,27,173,20171201,2017-12-01,20220208,2022-02-08,2019-10-12,294,Nordic OLD Unsecured loan,14,41277.0,5,2024-03-14,2031-09-14,0,Cancelled
129,8,001081800011,49,EUR,22,Nordic Finland,,168,20171205,2017-12-05,20230308,2023-03-08,2019-10-12,294,Nordic OLD Unsecured loan,14,2702.0,5,2024-03-14,2023-04-14,0,Cancelled
130,8,001081800011,49,EUR,22,Nordic Finland,,168,20171205,2017-12-05,20230308,2023-03-08,2019-10-12,294,Nordic OLD Unsecured loan,14,2702.0,5,2024-03-14,2023-04-14,0,Cancelled
131,8,001082410091,49,EUR,22,Nordic Finland,29,173,20180413,2018-04-13,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,21742.0,0,2024-03-14,2025-04-14,1,Active
132,8,001082960012,49,EUR,22,Nordic Finland,,166,20171208,2017-12-08,20191213,2019-12-13,2019-10-12,294,Nordic OLD Unsecured loan,14,19465.0,5,2024-03-14,2020-01-14,0,Cancelled
133,8,001082960012,49,EUR,22,Nordic Finland,,175,20171208,2017-12-08,20191213,2019-12-13,2019-10-12,294,Nordic OLD Unsecured loan,14,19465.0,5,2024-03-14,2020-01-14,0,Cancelled
134,8,001083030013,49,EUR,22,Nordic Finland,,166,20171207,2017-12-07,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,27417.0,5,2024-03-14,2030-10-14,1,Active
135,8,001083030013,49,EUR,22,Nordic Finland,,166,20171207,2017-12-07,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,27417.0,5,2024-03-14,2030-10-14,1,Active
136,8,001083550010,49,EUR,22,Nordic Finland,,166,20171207,2017-12-07,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,49473.0,0,2024-03-14,2020-08-14,1,Active
137,8,001083550010,49,EUR,22,Nordic Finland,,166,20171207,2017-12-07,-1,,2019-10-12,294,Nordic OLD Unsecured loan,14,49473.0,0,2024-03-14,2020-08-14,1,Active
